N,P,K,temperature,humidity,ph,rainfall,NuContAvailable,AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),soil Type
56,13,31,33.42,67.36,7.56,308.53,N,66.75,91.96,18.08,5.72,sandy
75,27,46,38.72,84.56,5.85,412.98,"N,P,K",75.02,97.02,34.46,23.95,Red Soil
93,17,27,24.46,84.56,7.86,737.66,"N,P",40.35,60.15,27.76,23.19,sandy
29,29,53,25.01,70.21,7.56,869.25,"N,P,K",54.86,95.6,42.26,50.09,lime soil
18,11,28,12.69,69.24,5.77,280.19,N,45.24,80.91,32.33,31.3,Alluvial
64,47,39,28.44,60.01,7.05,815.36,"N,P,K",71.95,92.41,10.62,54.91,sandy
37,33,27,24.7,43.05,6.92,937.2,N,74.33,99.95,13.98,30.28,Clay
86,33,16,27.07,46.56,6.71,967.28,"N,P,K",75.07,36.2,31.7,57.73,silt
69,13,21,35.86,79.16,7.97,713.71,"N,P,K",41.37,95.65,33.59,36.33,sandy
11,35,37,20.88,44.58,6.12,630.43,"N,P",48.44,70.27,15.95,53.8,Alluvial
60,35,36,29.01,67.87,7.49,943.15,"N,P,K",69.17,62.11,34.08,37.77,silt
36,13,53,18.03,62.66,6.16,481.37,"N,P,K",55.63,91.1,43.06,5.27,black
54,48,22,17.01,41.84,6.84,287.35,"N,P",50.45,20.27,49.71,51.56,black
18,32,40,36.22,44.15,5.63,534.82,"N,P,K",42.53,98.9,26.04,47.2,black
74,26,26,37.44,45.48,6.89,503.16,"N,P,K",58.81,76.63,34.36,6.28,Loam
30,12,14,33.41,64.27,5.54,446.51,"N,P,K",64.59,17.49,23.13,53.41,Red Soil
34,22,43,34.37,45.45,7.19,877.25,"N,P,K",62.93,73.94,7.35,44.73,Clay
92,17,34,36.37,78.16,7.6,823.79,"N,P,K",40.83,55.41,5.52,6.75,Clay
23,28,39,38.6,57.6,6.96,847.32,"N,P,K",71.3,78.09,35.28,8.63,sandy
88,30,19,28.89,78.77,6.22,855.21,"N,P,K",56.24,71.54,35.04,26.1,Alluvial
44,16,18,37.07,43.3,5.72,816.29,"N,P,K",72.1,17.72,23.63,36.3,Alluvial
79,36,20,33.64,44.63,5.75,320.76,"N,P,K",43.55,45.67,9.93,22.44,sandy
13,11,13,38.54,86.28,7.09,916.85,"N,P,K",55.89,81.37,21.08,57.64,Clay
28,46,41,30.87,65.94,5.72,674.67,"N,P,K",60.11,37.57,22.16,49.66,silt
41,23,42,25.93,60.57,6.9,450.21,"N,P,K",49.78,41.61,44.06,46.44,Alluvial
65,48,28,31.81,88.39,7.38,623.69,"N,P",61.59,33.27,17.06,18.92,Red Soil
63,6,48,36.98,87.95,7.3,548.48,"N,P,K",75.35,79.3,26.59,58.02,Clay
45,33,6,25.75,84.22,7.27,975.88,"N,P,K",62.44,82.18,11.42,51.99,silt
40,41,51,30.54,44.79,7.56,758.61,N,40.45,81.81,37.95,57.04,sandy
77,20,7,19.28,43.46,7.5,646.14,"N,P,K",63.62,59.15,24.42,24.72,Loam
64,11,14,37.23,40.34,6.96,920,"N,P,K",74.67,56.07,22.13,21.55,sandy
21,43,32,37.94,85.32,5.84,698.07,"N,P,K",42.48,54.1,43.65,22.11,lime soil
70,30,16,14.37,47.99,7.72,211.2,"N,P",58.74,84.21,11.88,53.89,Clay
39,24,59,34.85,68.51,7.5,279.74,N,77.88,80.23,29.95,50.29,Red Soil
88,26,6,18.96,66.98,7.59,561.37,"N,P,K",67.07,76.83,5.69,10.82,lime soil
57,48,53,22.97,80.46,6.71,822.28,"N,P,K",50.35,79.75,10.45,55.78,Clay
14,11,25,12.68,44.25,6.69,787.05,"N,P,K",62.7,69.12,14.57,24.07,lime soil
42,29,59,33.49,64.65,6.88,223.64,"N,P,K",44.63,66.68,40.6,35.17,lime soil
54,17,16,13.99,71.42,6.5,432.36,N,77.59,60.65,8.19,19.55,black
68,16,30,35.28,79.86,5.69,871.11,"N,P,K",70.17,68.6,34.25,5.64,Loam
97,34,59,16.21,56.65,6.96,577.24,"N,P,K",54.41,18.71,42.2,15.4,Loam
26,36,13,23.15,51.22,7.83,558.74,"N,P,K",67.29,83.18,8.51,26.96,Alluvial
63,10,22,14.47,51.93,6.99,309.95,"N,P,K",76.46,83.33,18.6,16.6,Clay
97,32,22,13.55,43.86,5.98,464.68,"N,P,K",67.48,47.56,42.92,5.66,silt
61,44,44,36.45,56.2,6.5,267.96,"N,P,K",53.56,99.16,7.8,21.46,lime soil
90,45,35,23.6,81.99,6.95,914.34,N,77.8,72.46,49.39,8.63,Clay
85,43,39,37.48,74.13,6.26,772.94,"N,P",73.37,88.89,42.79,58.24,lime soil
12,27,23,19.56,85.02,7.3,937.61,"N,P,K",75.14,25.58,46.59,8.46,lime soil
67,26,34,25.66,76.62,5.94,334.07,"N,P,K",54.01,10.56,26.63,13.57,Alluvial
21,8,58,36.35,85.87,5.6,377.07,"N,P,K",66.04,29.36,39.82,59.34,Loam
61,8,48,22.13,52.38,5.71,560.77,"N,P",42.22,46.06,13.07,29.47,Red Soil
85,8,20,21.47,56.09,5.99,863.68,"N,P,K",77.64,74.34,35.94,51.64,Loam
48,16,54,25.73,73.36,6.33,225.23,"N,P,K",74.49,41.95,30.17,32.28,black
32,6,59,27.43,49.13,7.5,429.06,"N,P",66,94.38,23.43,29.52,Alluvial
16,28,24,20.34,67.62,6.74,694.57,N,76.42,14.16,15,30.42,Clay
44,46,41,11.18,68.92,7.05,217.61,"N,P,K",52.28,11.01,14.47,34.33,black
36,34,32,14.01,43.93,7.62,635.9,"N,P,K",42.28,17.08,43.37,42.28,Alluvial
99,5,40,13.4,49.95,5.68,501.72,"N,P,K",56.84,68.28,18.04,36.75,Loam
39,44,27,25.77,56.44,7.45,542.05,"N,P,K",78.52,77.89,28.88,6.27,Red Soil
68,38,57,26.8,90,6.75,269.68,"N,P,K",49.61,36.57,29.92,7.8,Clay
11,31,44,35.14,49.78,7.12,877.58,N,77.5,20.75,26.49,34.04,black
65,32,23,13.54,79.75,6.92,745.01,"N,P,K",45.05,68.66,23.64,54.31,Clay
44,45,57,28.52,44.84,7.99,662.42,N,42.17,75.69,39.74,11.69,Loam
30,7,50,19.7,83.69,7.86,848.06,"N,P,K",59.66,65.04,27.22,59.41,lime soil
47,23,46,25.78,52.55,6.3,730.25,"N,P,K",65.46,65.39,13.49,52.53,black
67,45,25,12.56,48.79,7.99,581.43,"N,P,K",44.42,59.51,19.23,51.47,Alluvial
66,26,28,12.3,56.74,5.78,437.19,"N,P",53.36,54.69,26.51,33.76,Loam
63,37,47,39.4,45.87,6.8,211.15,"N,P",56.12,10.59,23.45,54.13,sandy
97,43,54,17.77,54.8,7.63,540.15,"N,P,K",76.08,86.27,20.34,5.04,Alluvial
75,7,36,37.12,54.2,7.02,655.35,N,71.63,38.23,22.35,9.98,Red Soil
63,10,26,12.76,54.9,6.48,431.28,"N,P,K",68.18,49.8,9.11,46.24,Alluvial
29,38,29,30.06,67.81,7.63,506.06,"N,P,K",70.09,32.49,24.73,9.72,lime soil
35,7,23,13.76,41.16,6.81,336.62,N,53.7,15.81,24.13,46.86,lime soil
50,30,7,38.14,71.41,7.93,485.25,"N,P,K",57.26,11.17,18.85,31.79,Clay
61,31,59,37.31,67.56,6,730.82,"N,P,K",72.85,46.92,19.61,53.69,lime soil
73,33,57,16.67,76.45,7.99,293.26,"N,P,K",69.78,77.16,20.26,5.36,Red Soil
49,6,56,27.36,40.51,6.3,308.92,"N,P",68.14,15.23,40.76,57.03,sandy
97,44,50,38.65,49.1,7.27,265.19,"N,P,K",55.99,68.04,14.9,18.74,black
80,42,51,22.69,76.66,5.76,297.93,"N,P,K",77.26,52.68,41.57,16.75,Red Soil
76,40,10,12.86,79.32,7.33,831.76,"N,P,K",56.85,92.43,13.16,20.23,Loam
35,35,58,33.78,73.86,6.89,556.94,"N,P,K",50.21,95.89,15.21,52.53,Red Soil
43,20,21,33.89,78.72,7.22,832.3,"N,P",49.39,12.55,29.21,52.39,Clay
81,26,18,35.15,45.21,6.89,457.26,"N,P",59.21,20.05,47.78,15.34,Clay
64,35,40,28.89,47.32,6.12,367.8,"N,P,K",49.23,91.38,19.93,29.68,Alluvial
66,40,29,15.55,64.71,6.66,327.28,"N,P,K",76.43,64.79,12.48,24.95,Red Soil
59,8,53,13.31,72.85,6.98,365.82,"N,P,K",74.31,23.51,18.49,45.02,lime soil
76,23,6,27.67,74.55,5.82,239.63,N,41.95,43.89,36.72,27.3,lime soil
40,35,29,39.17,64.97,7.13,808.24,"N,P,K",43.89,76.85,38.57,36.72,Clay
98,11,28,31.59,43.04,5.93,403.72,"N,P,K",73.08,53.56,31.32,44.99,lime soil
87,41,7,21.06,49.26,5.87,832.08,N,48.12,79.74,45.01,51.03,lime soil
80,43,8,12.49,72.65,7.05,570.91,N,73.21,86.95,15.46,28.86,Clay
30,10,18,31.39,72.48,7.57,702.79,"N,P",45.62,83.03,45.47,18.98,black
25,35,47,15.01,72.24,5.55,851.07,"N,P,K",50.91,33.06,5.24,16.36,Alluvial
93,47,52,39.6,45.38,6.78,773.66,"N,P,K",61.98,42.56,44.02,53.34,black
48,33,29,37.44,55.41,7.12,945.27,N,42.6,18.34,31.78,19.25,silt
83,6,15,16.38,70.44,6.78,563.78,"N,P,K",51.31,51.24,34.25,29.53,Clay
91,28,37,36.9,84.92,6.81,583.18,"N,P,K",79.7,30.31,20.11,53.28,lime soil
73,37,53,29.26,51.06,6.53,866.08,"N,P,K",70.66,14.43,30.58,28.76,Loam
51,11,19,27.61,54.09,5.99,325.69,"N,P,K",66.1,73.46,28.64,57.74,Clay
60,32,13,16.45,77.73,7.63,364.03,"N,K",61.54,92.46,26.55,37.61,Clay
70,14,39,27.63,85.91,7.44,494.26,"N,P,K",74.13,83.53,41.16,38.56,black
64,34,47,18.49,55.31,6.52,712.91,"N,P,K",54.05,83.2,8.95,36.19,lime soil
72,46,43,39.32,87.92,6.23,974.45,N,76.63,45.08,27.79,19.76,black
58,11,18,26.84,49.77,6.39,677.67,"N,P,K",50.28,99.16,24.6,20.41,Alluvial
37,38,21,23.67,55.69,5.89,527.53,"N,P,K",40.79,16.63,30.01,18.76,Clay
16,5,37,34.54,47.02,5.87,425.82,"N,P",46.16,24.23,36.04,13.8,Clay
98,36,14,27.51,51.56,7.73,756.07,"N,P,K",76.63,73.81,22.55,48.25,sandy
88,30,57,31.2,88.73,6.53,501.57,"N,P,K",66.39,90.71,44.83,54.89,Loam
17,45,7,35.81,60.79,7.06,403.98,"N,P,K",67.24,73.48,21.46,49.25,Loam
18,47,39,35.45,85.42,6.77,424.22,"N,P,K",48.29,77.19,34.97,34.93,sandy
87,26,30,30.4,43.54,6.24,875.38,"N,P,K",50.42,55.92,18.2,6.46,Clay
19,41,7,32.02,87.02,5.76,279.02,N,66.1,85.93,30.68,23.78,Alluvial
40,10,54,15.09,58.03,7.64,783.8,"N,P,K",49.15,82.99,17.63,8.79,Alluvial
36,8,19,24.08,46.93,7.5,696.22,N,44.41,81.59,40.64,14.18,black
17,29,15,17.89,49.13,7.76,943.99,"N,P,K",77.43,50.62,10.69,14.68,Red Soil
47,21,6,10.23,48.59,6.18,793.31,"N,P",41.82,60.17,22.44,46.98,Alluvial
61,18,22,34.62,59.39,5.87,919.56,"N,P,K",56.87,40.62,16.16,39.56,Alluvial
82,32,20,26.14,70.87,7.47,371.65,"P,K",48.22,65.86,47.64,55.33,Alluvial
44,8,40,26.35,79.73,6.96,210.48,"N,P,K",42.47,22.33,20.22,23.99,Red Soil
32,24,54,13.82,48.44,6.12,937.63,"N,P,K",69.12,89.38,36.36,24.64,Clay
55,10,36,30.28,55.99,7.61,489.26,N,70.11,59.19,26.35,26.23,Clay
15,26,49,21.5,84.84,6.46,763.37,"N,P,K",60.4,80.92,21.68,41.32,Alluvial
59,32,28,32.64,52.42,6.69,377.65,"N,P,K",73.99,59.48,36.52,43.49,sandy
24,43,8,20.35,49.52,7.39,978.38,"N,P,K",70.48,86.31,49.39,36.72,Clay
47,17,44,27.19,82.02,7.38,776.68,"N,P,K",62.08,84.09,27.39,30.84,lime soil
80,42,46,30.65,74.55,6.46,781.18,"N,P,K",47.84,16.91,11.79,30.35,Red Soil
43,42,36,31.55,77.57,6.19,217.79,"N,P,K",70.27,71.02,34.54,44.42,lime soil
37,38,16,27.04,59.95,6.53,403.09,"N,P,K",57.66,41.26,17.53,31.18,Red Soil
78,8,21,10.05,51.75,5.83,883.52,N,69.39,82.56,10.36,11.88,Red Soil
53,37,42,15.73,62.58,6.05,562.85,"N,P,K",76.68,20.57,27.96,26.04,Clay
59,48,24,14.01,71.02,7.4,970.88,"N,P,K",75.9,68.01,18.7,8.32,lime soil
42,45,21,10.37,64.65,7.59,559.42,"N,P,K",64.59,26.56,16.38,32.65,sandy
46,37,41,14.95,68.51,6.1,746.3,"N,P,K",47.38,23.65,23.32,55.54,black
21,41,25,37.55,85.2,7,374.58,"N,P,K",54.51,80.94,16.76,37.52,silt
41,36,34,38.38,89.15,5.83,202.87,"N,P",51.07,44.56,9.9,6.21,black
24,11,8,16.22,88.26,6.07,597.25,"N,P,K",45.4,30.38,33,59.13,silt
91,35,41,17.15,83.5,6.15,526.03,"N,P,K",64.92,51.95,19.43,5.14,Alluvial
14,45,37,14.37,42.56,5.93,763.7,"N,P,K",63.52,33.41,14.95,48.68,sandy
88,30,9,22.65,78.75,7.31,268.34,"N,P,K",64.23,35.03,29.75,23.55,lime soil
72,26,42,11.2,59.71,7.49,260.24,"N,P,K",72.87,68.87,26.07,58.58,black
85,12,50,33.57,46.63,6.83,944.33,"N,P,K",57.49,75.68,26.28,53.75,sandy
36,18,39,21.11,76.91,7.79,393.9,"N,P,K",42.87,52.76,7.6,26.58,Clay
85,37,43,22.79,60.23,6.27,207.73,"N,P,K",58.05,89.06,24.89,20.52,Red Soil
11,43,43,33.02,63.03,7.21,249.87,"N,P",63.94,97.53,23.22,52.05,Clay
22,24,7,14.09,82.84,6.89,984.04,"N,P,K",56.56,13.45,19.53,9.93,lime soil
12,47,39,30.01,40.28,7.34,238.98,"N,P,K",67.82,59.73,28.98,6.27,silt
40,9,50,18,45.09,6.26,287.88,"N,P,K",53.41,52.41,27.95,10.25,Clay
96,32,9,27.59,84.68,6.61,883.3,"N,P,K",55.26,10.87,19.07,43.34,Loam
45,46,50,30.47,41.62,7.65,929.09,N,71.09,31.29,15.41,19.02,Clay
12,8,13,19.33,53.1,6.19,216.61,"N,P,K",41.53,64.54,8.26,47.47,Alluvial
32,16,6,31.64,78.42,5.87,683.41,"N,P,K",78.88,50.25,11.79,38.67,Red Soil
23,6,21,18.85,81,6.78,690.75,"N,P,K",65.41,19.68,31.82,48.75,black
95,7,37,29.97,41.25,7.76,821.56,"N,P",74.04,74.27,20.9,6.16,Alluvial
21,29,59,13.67,51.59,7.27,801.1,"N,P,K",74.5,30.89,14.83,49.26,black
73,47,59,10.1,83.6,7.25,463.57,"N,P,K",64.85,98.18,8.98,15.11,silt
93,11,57,31.08,66.22,7.12,399.24,N,70.03,11.52,43.05,33.39,Red Soil
78,19,6,18.57,78.89,7.4,886.38,"N,P,K",69.82,37.22,16.16,12.73,silt
71,45,27,14.65,69.48,7.86,700.98,N,42.36,92.84,32.67,55.98,Loam
43,11,16,16.68,66.02,6.5,913.36,"N,P,K",72.99,45.64,38.79,33.9,Red Soil
17,5,32,17.76,87.78,7.93,763.18,"N,P,K",61.13,98.43,43.29,44.88,Clay
27,8,38,30.25,58.37,5.79,945.48,"N,P,K",77.65,29.81,45.98,45.21,black
23,7,52,25.57,45.34,6.31,953.7,"N,P,K",42.71,90.07,18,23.52,sandy
69,41,10,30.04,69.47,6.93,586.79,"N,P,K",57.37,22.52,12.72,44.05,Alluvial
52,6,12,10.49,64.95,5.67,608.01,N,78.7,47.91,38.38,8.61,Red Soil
32,47,19,27.95,65.03,6.11,409.81,"N,P,K",44.71,63.55,22.33,46.63,lime soil
87,33,33,21.94,49.26,5.69,806.72,"N,P,K",51.31,91.17,31.54,32.9,silt
43,18,35,39.97,52.1,7.18,600.75,"N,P,K",70.84,46.81,17.34,13.29,Red Soil
17,15,27,24.45,75.79,6.38,927.05,"N,P",40.48,50.27,31.6,20.71,Red Soil
70,17,8,25.95,88.48,5.5,264.04,"N,P,K",61.1,61.85,8.98,11.15,Loam
65,28,46,18.19,42.49,7.48,939.76,"N,P,K",76.8,16.31,42.77,27.67,sandy
47,11,5,18.1,72.29,7.58,868.65,N,46.95,69.86,29.08,10.47,sandy
84,47,17,37.72,53.44,7.51,664.97,"N,P",55.91,80.71,10.82,30.43,Alluvial
86,17,56,30.87,62.38,7.26,860.72,"N,P,K",68.19,78.17,29.89,28.94,Loam
97,34,17,26.27,52.02,5.65,261.46,"N,P,K",62.24,52.01,10.65,21.67,Red Soil
96,14,58,27.37,77.5,6.01,471.41,"N,P,K",67.11,78.79,32.34,31.01,silt
93,25,40,23.75,85.28,6.14,989.24,"N,P,K",45.58,73.36,26.22,55.61,sandy
66,32,8,14.7,69.12,5.66,805.31,"N,P,K",43.48,50.38,45.11,45.36,Red Soil
39,45,12,27.21,63.96,7.92,626.95,"N,P",52.43,67.52,7.44,32.44,silt
14,34,41,29.75,77.24,5.83,832.93,"N,P",57.68,37.52,29.79,37.04,Alluvial
12,49,21,32.65,60.18,7.22,718.68,"N,P,K",77.94,25.34,20.02,32.25,lime soil
20,26,5,35.79,63.91,5.67,403.67,"N,P,K",46.98,64.59,6.42,7.47,sandy
83,45,19,39.54,64.97,5.51,513.61,"N,P,K",78,15.48,24.66,28.9,Clay
87,14,18,16.89,71.3,7.1,688.34,"N,K",63.72,26.08,20.16,17.64,silt
73,16,59,37.65,87.92,7.72,665.88,"N,P,K",47.3,76.69,31.74,17.47,Clay
45,27,8,38.34,48.74,7.05,962.23,"N,P,K",41.16,42.89,37.35,26.78,Loam
31,10,9,11.23,76.44,7.43,330.57,N,54.25,47.92,46.13,43.03,black
13,35,36,21.18,59.61,6.34,416.58,"N,P,K",45.91,88.25,25.51,37.9,Loam
58,32,27,18.1,87.39,6.92,790.85,"P,K",60.45,89.83,38.23,43.09,Red Soil
22,27,13,28.46,52.35,7.89,805.71,"N,P",72.61,29.11,6.75,32.96,Loam
52,41,39,23.19,70.89,7.92,740.31,"N,P,K",75.82,11.59,32.07,31.09,lime soil
50,44,6,35.48,78.9,7.59,610.08,"N,P,K",69.53,37.17,30.97,58.88,black
84,12,29,17.62,65.22,5.87,979.6,"N,P,K",49.05,52.16,24.88,17.7,sandy
37,25,17,33.03,73.78,5.79,263.72,N,79.09,17.18,25.95,14.58,Loam
17,8,27,26.84,81.73,5.62,615.26,"N,P,K",48.93,62.17,18.7,42.7,Red Soil
65,24,16,29.29,86.19,7.43,577.09,"N,P,K",59.45,72.5,18.41,17.43,silt
26,46,13,16.48,74.59,6.95,651.97,"N,P,K",49.01,12.95,34.54,40.76,sandy
49,9,22,17.47,81.08,5.85,480.38,"N,P,K",65.22,30.82,26.91,23.44,Alluvial
41,17,5,31.02,52.22,6.17,642.04,"N,P,K",73.25,11.51,21.51,25.18,sandy
94,7,41,14.85,51.43,5.98,473.59,"N,P,K",66.26,84.39,42.59,48.24,sandy
66,12,53,21.51,70.96,7.78,418.64,N,71.57,54.17,35.01,57.08,Loam
55,16,42,27.5,60.21,6.91,986.91,"N,P,K",55.58,84.28,21.96,43.35,silt
63,40,35,18.68,60.22,7.76,456.57,"N,P,K",42.49,93.64,5.75,28.6,sandy
71,9,11,14.9,61.44,7.73,371.48,"N,P,K",47.32,98.73,48,53.91,Loam
68,6,37,23.2,88.78,7.59,782.53,"N,P",42.69,13.05,12.11,59.47,Red Soil
63,42,31,21.11,42.37,6.78,807.48,"N,P,K",63.64,58.23,32.58,32.41,silt
72,29,28,35.84,44.58,7.81,657.53,"N,P,K",45.97,68.97,36.63,6.72,sandy
53,28,44,31.46,71.74,7.4,623.05,"N,P",72.74,85.5,22.51,43.67,Clay
80,13,41,20.96,58.02,6.05,557.75,"N,P,K",50.32,20.63,5.98,8.99,black
28,21,16,15.38,71.27,6.37,776.68,"N,P,K",58.29,21.97,18.33,31.72,silt
22,15,46,13.93,42.06,6.57,761.11,"N,P,K",62.9,79.12,10.68,17.18,Alluvial
86,34,30,37.77,69.43,7.6,239.49,"N,P,K",75.14,12.11,35.4,36.81,lime soil
80,21,25,16.32,58.38,6.04,887.75,"N,P,K",55.77,61.17,29.54,6.2,black
93,5,43,10.5,55.78,7.73,518.05,"N,P,K",51.68,94.82,20.29,33.98,Red Soil
38,18,49,39.84,85.67,7.73,399.55,"N,P,K",45.86,52.25,30.42,19.71,Red Soil
63,29,53,17.42,40.19,7.39,697.56,"N,P,K",60.53,48.61,17.54,8.28,lime soil
27,7,5,29.64,68.12,7.06,594.9,"N,P,K",67.07,33.28,32.43,36.52,Alluvial
57,13,38,13.4,84.9,5.75,444.16,N,65.18,16.64,41.1,29.04,Red Soil
72,25,20,15.63,56.81,6.25,762.63,"N,P",52.71,96.44,14.74,51.45,lime soil
94,28,13,31.83,59.9,6.76,879.48,"N,P,K",61.94,87.24,24.07,22.15,black
44,19,52,15.65,72.62,5.65,232.1,N,67.79,32.3,26.09,19.94,Loam
49,39,53,13.54,55.27,7.09,921.67,N,62.77,94.66,21.07,32.36,Clay
64,15,6,21.41,41.12,6.68,641.25,"N,P,K",60.09,94.59,38.94,35.49,Clay
61,9,13,20.34,64.06,6.33,269.61,N,56.54,44.42,47.3,48.98,Clay
16,5,55,13.69,64.77,5.58,920.5,N,47.74,78.43,32.24,51.97,Clay
71,29,54,18.82,80.28,6.98,614.92,"N,P,K",53.18,78.42,26.68,19.25,Loam
87,35,28,16.78,66.94,7.58,326.88,"N,P,K",71.75,82.63,5.78,7.34,silt
64,25,24,36.73,74.49,7.81,345.36,"N,P",53.62,11.11,27.62,51.81,silt
82,41,54,39.9,57.85,6.24,833,"N,P,K",71.26,79.75,40.69,14.93,Loam
98,22,11,26.87,83.09,6.67,986.38,"N,P,K",50.74,33.92,42.54,44.14,Loam
82,14,38,16.6,65.94,6.66,839.87,"N,P,K",74.43,82.69,31.99,15.74,Clay
20,26,53,18.02,46.92,7.11,660.12,"N,P,K",45.46,42.64,11.23,13.84,black
43,27,31,28.55,57.49,7.84,846.49,"N,P,K",48.25,54.62,19.73,22.25,Loam
71,38,52,30.35,82.16,6.55,979.82,"N,P,K",75.17,75.01,32.34,9.13,Clay
34,33,27,28.81,40.39,7.06,675.18,N,46.82,50.11,17.2,8.73,silt
24,11,31,30.54,74.09,7.79,302.61,"N,P,K",50.66,51.96,42.71,21.68,Alluvial
98,6,56,37.88,75.59,6.59,587.35,"N,P,K",77.47,59.02,10.31,13.48,black
21,5,39,39.52,83.39,6.18,756.39,N,56.98,30.99,46.83,53.32,Alluvial
64,25,54,13.12,82.87,6.64,292.64,N,78.64,93.84,11.23,57.65,Alluvial
98,32,37,25.56,58.82,7.6,286,"N,P,K",77.83,27.4,48.95,54.19,black
13,6,56,25.91,55.75,6.83,522.3,"N,P,K",44.55,67.88,35.56,51.79,silt
30,44,59,34.5,74.65,7.54,563.73,N,70.62,23.35,18.21,57.57,Loam
26,9,53,25.44,59.1,7.69,250.74,"N,P,K",70.4,15.12,13.25,46.35,Clay
19,16,9,30.94,71.28,7.09,835.52,"N,P",69.52,89.24,18.56,48.83,silt
81,35,59,24.25,42.48,7.99,398.15,"N,P,K",40.41,89.1,24.06,34.47,black
92,7,57,19.39,83.21,7.6,597.98,"N,P,K",60.66,25.63,34.37,40.74,silt
96,33,50,35.88,57.31,6.45,642.82,"N,P",61.75,17.01,5.96,34.66,sandy
13,27,23,33.59,48,7.51,265.4,"N,P",69.61,78.28,47.64,35.47,sandy
51,48,8,32.18,86.88,6.49,883.31,"N,P,K",78.41,49.27,47.17,23.05,silt
45,17,43,34.28,67.03,6.99,572.19,"N,P,K",61.09,95.78,7.56,16.8,Red Soil
49,16,41,18.97,58.04,7.41,533.85,"N,P,K",55.19,46.02,21.81,30.41,Alluvial
31,39,59,21.08,66.77,5.87,303.72,"N,P,K",45.72,22.62,6.67,19.54,Red Soil
29,7,32,34.86,69.32,6.64,852.39,"N,P,K",51.03,18.24,10.85,36.52,lime soil
41,45,40,33.02,46.03,6.8,529.97,"N,P",67.25,97.94,8.96,22.84,Loam
17,45,20,37.55,85.88,7.05,804.51,N,67.29,40.64,7.03,23.2,Loam
54,34,33,27.28,85.19,6.09,525.37,"N,P,K",54.51,22.27,44.29,54.53,Alluvial
22,49,59,20.35,76.83,7.43,339.51,"N,P,K",49.3,44.45,38.32,50.57,black
31,28,37,16.09,71.47,6.39,212.12,"N,P,K",55.07,97.04,18.48,5.62,Alluvial
59,14,5,16.53,54.88,5.85,698.84,"N,P,K",73.72,45.05,22.08,25.94,black
69,28,14,27.5,85.01,7.94,302.54,"N,P,K",58.78,77.8,6.92,5.26,sandy
85,49,44,15.23,70.45,7.27,788.09,"N,P,K",72.3,32.94,8.67,19.34,black
94,24,39,12.82,50.68,6.49,268.34,"N,P,K",79.4,46.95,26.48,45.15,black
38,29,17,33.72,70.51,6.14,552.58,"N,P,K",63.39,52.52,46.52,31.38,sandy
36,43,31,29.39,65.48,7.46,592.42,"N,P,K",75.35,83.49,26.9,29.49,black
83,47,19,38.12,71.11,5.79,634.27,"N,P,K",53.26,25.84,48.61,39.19,silt
